enzyme,catalyst
indigenous,native
renowned,celebrated; famous
ascend,go or come up
dupe,cheat make a fool of
reminiscent,suggest something in the past
odor,smell
renovate,restore something to better condition
abide,be faithful; to endure
spear,weapon with a metal point on a long shaft
enduring,lasting
legacy,Bequest or inheritance
anguish,severe suffering
fidelity,loyalty accuracy
salvage,the saving of property from loss
eradicate,get rid of pull up by the roots
foolproof,incapable of failure or error
brass,yellow metal (mixing copper and zinc)
submerge,put under water liquid sink out of sight
heterogeneous,made up of different kinds
sheath,cover for the blade of a weapon or a tool
vigorous,strong energetic
dwarf,person much smaller the usual size
alleviate,make (pain) easier to bear
entice,attract, lure"
misanthrope,person who hates mankind
stride,walk with long steps
yarn,tale story fibers for knitting
succumb,yield, die"
adorn,add beauty; decorate
endeavor,to make an effort, to try very hard"
sanity,health of mind soundness of judgment
antidote,medicine used against a poison or a disease
introspection,examining one's own thoughts and feelings
colloquial,involving or using conversation.
massacre,cruel killing of a large number of people
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
defer,postpone
mischievous,harmful; causing mischief
disproof,proof to the contrary
boisterous,noisy; restraint
warrant,authority written order guarantee
satiate,satisfy fully
clot,half-solid lump formed from liquid
aberration,straying away from what is normal
paradigm,a model example or pattern
presentiment,anticipatory fear; premonition
drowsiness,feeling sleepy half asleep
bogus,sham; counterfeit; not genuine
reiterate,say or do again several times
agile,active; quick-moving
premature,doing or happening something before the right time
centurion,leader of a unit of 100 soldiers
steeply,rising or falling sharply
nihilism,total rejection of all religious and moral beliefs
allegiance,duty support loyalty
gullible,easily gulled
pertain,belong as a part have reference
audacious,Bold
shunned,avoided, kept away from"
correlate,have a mutual relation
tractable,easily controlled or guided
mite,A very small amount, portion, or particle"
predominate,have more power than others
edify,instruct; correct morally
braggart,boastful
sporadic,happening from time to time
precursors,a person or thing that precedes, as in a process or job."
eloquence,fluent speaking skillful use of language
combustion,process of burning
benefactor,person who has given help
inclined,directing the mind in a certain direction
dote,show much fondness center one's attention
encapsulate,enclose in capsule
suffice,be enough
dormant,in a state of inactivity but awaiting development
skit,short piece of humorous writing
knit,draw together; unite firmly
fleet,number of ships; quick-moving
plea,request
constrict,make tight or smaller
permeate,spread into every part of
pilferer,to steal, especially in small quantities"
writ,written order
offhand,Without preparation or forethought
shallow,little depth; not earnest
sobriety,quality or condition of being sober
sluggard,lazy slow-moving person
apartheid,brutal racial discrimination
affinity,close connection; relationship
arrogance,proud; superior manner of behaviour
forgery,counterfeit
accolade,praise; approval
scribble,write hastily
ambivalent,having both of two contrary meanings
redeem,get back by payment compensate
sponge,porous rubber for washing live at once expense
incongruous,out of place; not in harmony or agreement
poseur,a person who attempts to impress by acting unlike himself
animosity,strong dislike
embezzle,use in a wrong way for one's own benefit
impermeable,that cannot be permeated
commuter,person who travels regularly
retrospective,Looking back on past
turbulence,being uncontrollably violent
lampoon,publicly mock or ridicule
misogynist,one who hates women/females
ameliorate,improve; make better
curriculum,course of study
reconcile,settle a quarrel restore peace
opaqueness,dullness/not allowing light to pass through
partisan,one-sided committed to a party biased or prejudiced
arcane,known or understood by very few
extinct,no longer active
dislodge,move force from the place occupied
disallow,refuse to allow or accept as a correct
tadpole,form of a frog when it leaves the egg
coagulation,change to a thick and solid state
rejuvenation,becoming young in nature or appearance
moribund,in a dying state; near death
implosion,collapse; bursting inward
repel,refuse to accept/cause dislike
relapse,fall back again
commemorate,keep the memory of
livid,Furiously angry, enraged"
perjury,willful FALSE statement unlawful act
connote,Suggest or imply in addition to the precise, literal meaning"
gait,a manner of walking, stepping, or running"
sequence,succession connected line of
cordial,warm and sincere
pivotal,of great importance (others depend on it)
divergence,getting farther apart from a point
strive,to make great efforts, to struggle"
acumen,Keen, quick, accurate insight or judgment"
equilibrium,state of being balanced
conjoin,to join together
infuriate,fill with fury or rage
extralegal,outside the law
sadistic,Cruel
complaisant,trying to please; obliging
recitals,a number of performance of music
hypocrisy,falsely making oneself appear to be good
impede,hinder; get in the way of
engulf,swallow up
implicit,implied though; not plainly expressed
catalyst,substance that causes speeding up
indistinct,not easily heard; seen clearly marked
parenthesis,sentence within another one something separated
concur,agree in opinion happen together
negligent,taking too little care
asterisk,the mark * (e.g.. omitted letters)
treacherous,not to be trusted, perfidious"
flop,fail/move/fall clumsily
riddle,puzzling person or thing
weigh,measure how heavy something is
aggravate,make worse; irritate
console,give comfort or sympathy to
stray,wander lose one's way
brittle,easily broken
ingest,take in by swallowing
disrobe,undress
adulteration,making unpure; poorer in quality
connoisseur,a person with good judgement (e.g.. in art)
fragrant,sweet-smelling
liberality,free giving; generosity
articulate,speak distinctly; connect by joints
judicious,sound in judgment; wise
vivacious,lively high-spirited
mesmerize,hypnotize
invincible,too strong to be defeated
ambiguous,doubtful; uncertain
luminary,star; light-giving body
meticulous,giving great attention to details
patron,regular customer person who gives support
ail,to cause pain, uneasiness, or trouble to."
timid,shy easily frightened
extinguish,end the existence of/wipe or put out
fragile,easily injured broken or destroyed
solvent,of the power of forming a solution
chisel,steel tool for shaping materials
malleable,yielding easily shaped; moldable; adapting
refine,make or become pure cultural
euphoria,elation state of pleasant excitement
suffocate,cause or have difficulty in breathing
elaborate,worked out with much care in great detail
conceal,hide keep secret
abstruse,difficult to comprehend; obscure
garrulous,too talkative
dexterity,skill (esp. in handling)
abhor,to hate; to detest
foster,nurture; care for
woo,try to win
shard,A piece of broken pottery
tonic,something giving strength or energy
evoke,call up bring out
repulsive,causing a feeling of disgust
dangle,hand or swing loosely
superimpose,put something on the top
malevolent,malicious; evil; having or showing ill will
recuperate,become strong after illness loss exhaustion
immutable,that cannot be changed
limp,lacking strength; walking unevenly
flimsy,lacking solidarity, strength"
yeoman,man owning small estate; middle-class farmer
beguile,mislead or delude; cheat; pass time
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
unscathed,unharmed unhurt
indulgent,inclined to indulge
evasive,tending to evade
derivative,unoriginal; obtained from another source
chortle,loud chuckle of pleasure or amusement
gallant,brave,behaves well with women"
auxiliary,helping; supporting
retrograde,receding
narcissism,Self-love
Lambaste,attack verbally
volatile,changeable inconstant fickle unstable explosive
endorse,write one's name on the back of
fission,splitting or division (esp. of cells)
alloy,to debase by mixing with something inferior
resuscitation,coming back to consciousness
enigma,something that is puzzling
impromptu,without preparation
buoyant,able to float; light-hearted
sanction,approval (by authority) penalty
eulogy,formal praise panegyric
cumbersome,burdensome; heavy and awkward to carry
clientele,customers
erratic,irregular in behaviour or opinion
cryptic,secret with a hidden meaning
sophisticated,complex; subtle; refined
ambidextrous,able to use the left hand or the right equally well
edible,fit to be eaten/not poisonous
